facility_name;district_name
Bangwe;Blantyre
Chabvala;Blantyre
Chikowa;Blantyre
Chileka;Blantyre
Chileka SDA;Blantyre
Chilomoni;Blantyre
Chimembe;Blantyre
Dziwe;Blantyre
Limbe;Blantyre
Lirangwe;Blantyre
Lundu;Blantyre
Madziabango;Blantyre
Makata;Blantyre
Mdeka;Blantyre
Mlambe;Blantyre
Mpemba;Blantyre
Namikoko;Blantyre
Ndirande;Blantyre
Soche Maternity;Blantyre
South Lunzu;Blantyre
Zingwangwa;Blantyre
Chang'ambika;Chikwawa
Chapananga;Chikwawa
Chikwawa;Chikwawa
Chipwaila;Chikwawa
Chithumba;Chikwawa
Dolo;Chikwawa
Gaga;Chikwawa
Gola;Chikwawa
Kakoma;Chikwawa
Kapichila;Chikwawa
Kasinthula;Chikwawa
Makhwira;Chikwawa
Maperera;Chikwawa
Mfera;Chikwawa
Mkumaniza;Chikwawa
Misomali;Chikwawa
Ndakwela;Chikwawa
Ngabu RH;Chikwawa
Mont fort;Chikwawa
Bereu Disp;Chikwawa
Lengwe Disp (Mafale);Chikwawa
Illovo;Chikwawa
Bembeke;Dedza
Chikuse;Dedza
Chimoto;Dedza
Chiphwanya;Dedza
Chitowo;Dedza
Chongoni;Dedza
Dedza;Dedza
Dzindevu;Dedza
Golomoti;Dedza
Kafere;Dedza
Kalulu;Dedza
Kanyama;Dedza
Kanyezi;Dedza
Kaphuka;Dedza
Kasina;Dedza
Kaundu;Dedza
Lobi;Dedza
Maonde;Dedza
Matumba;Dedza
Mayani;Dedza
Mdeza;Dedza
Mganja;Dedza
Mikondo;Dedza
Mjini;Dedza
Mlangali;Dedza
Mphathi;Dedza
Mphunzi;Dedza
Mtakataka;Dedza
Mtendere;Dedza
Mua;Dedza
Nakalazi;Dedza
Police;Dedza
Tsoyo;Dedza
Area 18;Lilongwe
Area 25;Lilongwe
Bottom;Lilongwe
Chadza;Lilongwe
Chikowa;Lilongwe
Chileka;Lilongwe
Chilobwe Majiga;Lilongwe
Chimbalanga;Lilongwe
Chitedze;Lilongwe
Chiunjiza;Lilongwe
Chiwamba;Lilongwe
Chiwe;Lilongwe
Diamphwe;Lilongwe
